,Year,N_ID,Pop,Ad_Ed,Child_Care,Com_House,Emp_Res,Sub_Trt,Trans_House,Recreation,Inflation,NIA,C_Rate
0,2014.0,97.0,11197.3333774508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,0.0,0
1,2014.0,27.0,25528.8877490689,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.91,1.0,3
2,2014.0,38.0,14298.6677529105,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.91,0.0,0
3,2014.0,31.0,13508.4438283393,0.0,0.0,48.0,0.0,0.0,0.0,0.0,1.91,0.0,3
4,2014.0,16.0,22787.5575665682,0.0,46.0,0.0,0.0,0.0,0.0,0.0,1.91,0.0,2
5,2014.0,118.0,25097.7771136128,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.91,0.0,1
6,2014.0,63.0,19590.2216995033,0.0,0.0,26.0,0.0,0.0,0.0,0.0,1.91,0.0,1
7,2014.0,3.0,9406.22189055884,0.0,60.0,30.0,0.0,0.0,0.0,0.0,1.91,1.0,2
8,2014.0,55.0,18666.6663805548,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.91,1.0,1
9,2014.0,59.0,15581.3326919068,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.91,0.0,1
10,2014.0,106.0,13134.2221607416,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.91,0.0,1
11,2014.0,14.0,38276.4427878774,0.0,57.0,5.0,0.0,0.0,0.0,0.0,1.91,0.0,3
12,2014.0,66.0,8791.11137833681,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.91,0.0,3
13,2014.0,28.0,9095.99980541702,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.91,1.0,1
14,2014.0,139.0,15287.1101656089,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.91,1.0,3
15,2014.0,85.0,20026.6673187703,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.91,1.0,2
16,2014.0,70.0,24898.6664842143,0.0,0.0,85.0,0.0,0.0,0.0,0.0,1.91,0.0,3
